team_id,school name,full school name,nickname,conference,place,reg
20132,James Madison,James Madison University,Dukes,Colonial Athletic Association,"Harrisonburg,Virginia",VA
20454,Kansas,University of Kansas,Jayhawks,Big 12 Conference,"Lawrence,Kansas",KS
20398,Kansas State,Kansas State University,Wildcats,Big 12 Conference,"Manhattan,Kansas",KS
20134,Kennesaw State,Kennesaw State University,Owls,Atlantic Sun Conference,"Kennesaw,Georgia",GA
20135,Kent State,Kent State University,Golden Flashes,Mid-American Conference,"Kent,Ohio",OH
20017,Kentucky,University of Kentucky,Wildcats,Southeastern Conference,"Lexington,Kentucky",KY
21098,Lafayette,Lafayette College,Leopards,Patriot League,"Easton,Pennsylvania",PA
20040,Lamar,Lamar University,Cardinals,Southland Conference,"Beaumont,Texas",TX
21089,LaSalle,La Salle University,Explorers,Atlantic 10 Conference,"Philadelphia,Pennsylvania",PA
20401,Lehigh,Lehigh University,Mountain Hawks,Patriot League,"Bethlehem,Pennsylvania",PA
20403,Liberty,Liberty University,Flames,Atlantic Sun Conference,"Lynchburg,Virginia",VA
20846,Lipscomb,Lipscomb University,Bisons,Atlantic Sun Conference,"Nashville,Tennessee",TN
20492,Little Rock,University of Arkansas-Little Rock,Trojans,Sun Belt Conference,"Little Rock,Arkansas",AR
20010,Long Beach State,Long Beach State University,49ers,Big West Conference,"Long Beach,California",CA
20779,Long Island,Long Island University-Brooklyn Campus,Sharks,Northeast Conference,"Brooklyn,New York",NY
20276,Longwood,Longwood University,Lancers,Big South Conference,"Farmville,Virginia",VA
20140,Louisiana Tech,Louisiana Tech University,Bulldogs,Conference USA,"Ruston,Louisiana",LA
20456,Louisiana-Monroe,University of Louisiana-Monroe,Warhawks,Sun Belt Conference,"Monroe,Louisiana",LA
20457,Louisville,University of Louisville,Cardinals,Atlantic Coast Conference,"Louisville,Kentucky",KY
20065,Loyola Marymount,Loyola Marymount University,Lions,West Coast Conference,"Los Angeles,California",CA
20004,LSU,Louisiana State University,Tigers,Southeastern Conference,"Baton Rouge,Louisiana",LA
20180,Maine,University of Maine,Black Bears,America East Conference,"Orono,Maine",ME
20790,Manhattan,Manhattan College,Jaspers,Metro Atlantic Athletic Conference,"Bronx,New York",NY
20577,Marist,Marist College,Red Foxes,Metro Atlantic Athletic Conference,"Poughkeepsie,New York",NY
20240,Marshall,Marshall University,Thundering Herd,Conference USA,"Huntington,West Virginia",WV
20213,Maryland,University of Maryland,Terrapins,Big Ten Conference,"College Park,Maryland",MD
20346,Mass-Lowell,University of Massachusetts-Lowell,River Hawks,America East Conference,"Lowell,Massachusetts",MA
20181,Massachusetts,University of Massachusetts,Minutemen,Atlantic 10 Conference,"Amherst,Massachusetts",MA
20142,McNeese State,McNeese State University,Cowboys,Southland Conference,"Lake Charles,Louisiana",LA
20018,Memphis,University of Memphis,Tigers,American Athletic Conference,"Memphis,Tennessee",TN
